"<ID|readonly|noverify>";"<English>"
svd_m_2;DMR
vssm_vintorez_shop;VSSM Vintorez
vssm_vintorez_0;VSSM Vintorez
vssm_vintorez_1;VSS Vintorez
vssm_vintorez_2;Assault rifle
uav_inf_fpv_strike_drone_shop;"Strike UAV type ""FPV"""
uav_inf_fpv_strike_drone_0;"Strike UAV type ""FPV"""
uav_inf_fpv_strike_drone_1;"Strike UAV type ""FPV"""
uav_inf_fpv_strike_drone_2;FPV
uav_inf_strike_drone_shop;"Strike UAV type ""Wing"""
uav_inf_strike_drone_0;"Strike UAV type ""Wing"""
uav_inf_strike_drone_1;"Strike UAV type ""Wing"""
uav_inf_strike_drone_2;WING
uav_inf_recon_drone_shop;Reconnaissance UAV
uav_inf_recon_drone_0;Reconnaissance UAV
uav_inf_recon_drone_1;Reconnaissance UAV
uav_inf_recon_drone_2;Scout
infantry/squad/member;Soldier
infantry/squad/member_inactive_advice;train your crew
infantry/squad/member_inactive;Inactive
infantry/squad/members;Soldiers
weapons/infantry_empty;Empty
weapons/ammo_box;Ammo box
ammo_box;Ammo box
weapons/ammo_box/desc;Allows all allies to refill ammo in battle. Ammo is limited.
weapons/explosives_box_item;Explosives box
explosives_box_item;Explosives box
weapons/explosives_box_item/desc;Allows all allies to refill explosives in battle. Refills are limited.
weapons/frag_grenade;Frag grenade
frag_grenade;Frag grenade
weapons/frag_grenade/desc;An explosive munition designed to destroy infantry.
weapons/ks_p;18,5 KS-P shotgun
ks_p;18,5 KS-P shotgun
weapons/ks_p/desc;A shotgun is effective against drones. It is not recommended to use it against armored infantry.
weapons/m136_at4;M136 AT4 anti-tank rocket launcher
m136_at4;M136 AT4 anti-tank rocket launcher
weapons/m136_at4/desc;A hand-held anti-tank rocket launcher for destroying armoured vehicles.
weapons/medic_box;Medkits Box
medic_box;Medkits Box
weapons/medic_box/desc;Allows all allies to refill medkits in battle. Refills are limited.
weapons/mossberg_590;Mossberg 590 shotgun
mossberg_590;Mossberg 590 shotgun
weapons/mossberg_590/desc;A shotgun is effective against drones. It is not recommended to use it against armored infantry.
weapons/mpads_igla;9K38 Igla MANPADS
mpads_igla;9K38 Igla MANPADS
weapons/mpads_igla/desc;Man-portable air-defense systems for destroying low-flying air targets.
weapons/mpads_stinger;FIM-92 Stinger MANPADS
mpads_stinger;FIM-92 Stinger MANPADS
weapons/mpads_stinger/desc;Man-portable air-defense systems for destroying low-flying air targets.
weapons/pkp_pecheneg;PKP Pecheneg machine gun 
pkp_pecheneg;PKP Pecheneg machine gun 
weapons/pkp_pecheneg/desc;A general purpose machine gun for destroying infantry. It is recommended to use it after installing it on bipods.
weapons/pslr_1_default;PSRL-1 rocket launcher
pslr_1_default;PSRL-1 rocket launcher
weapons/pslr_1_default/desc;A hand-held anti-tank grenade launcher for destroying armoured vehicles.
weapons/reapr;REAPR machine gun 
reapr;REAPR machine gun 
weapons/reapr/desc;A machine gun for destroying infantry. It is recommended to use it after installing it on bipods.
weapons/rpg_7;RPG-7 rocket launcher
rpg_7;RPG-7 rocket launcher
weapons/rpg_7/desc;A hand-held anti-tank rocket launcher for destroying armoured vehicles.
weapons/rpg_7_default;RPG-7 rocket launcher
rpg_7_default;RPG-7 rocket launcher
weapons/rpg_7_default/desc;A hand-held anti-tank rocket launcher for destroying armoured vehicles.
weapons/smoke_grenade;Smoke grenade
smoke_grenade;Smoke grenade
weapons/smoke_grenade/desc;A pyrotechnic device designed to create smoke zones for camouflage purposes.
weapons/stun_grenade;Stun grenade
stun_grenade;Stun grenade
weapons/stun_grenade/desc;A non-lethal weapon designed to provide light and sound effects on an enemy to temporarily incapacitate them.
weapons/usa_fpv_drone;FPV drone
usa_fpv_drone;FPV drone
weapons/usa_fpv_drone/desc;A quadcopter with an attached ammo from a hand-held anti-tank rocket launcher. Use against ground vehicles.
weapons/usa_kamikaze_drone;Loitering munition
usa_kamikaze_drone;Loitering munition
weapons/usa_kamikaze_drone/desc;An unmanned aerial vehicle with a warhead. Use against ground vehicles.
weapons/usa_recon_drone;Reconnaissance drone
usa_recon_drone;Reconnaissance drone
weapons/usa_recon_drone/desc;A quadcopter with software for automatic enemy recognition.
weapons/ussr_fpv_drone;FPV drone
ussr_fpv_drone;FPV drone
weapons/ussr_fpv_drone/desc;A quadcopter with an attached ammo from a hand-held anti-tank rocket launcher. Use against ground vehicles.
weapons/ussr_kamikaze_drone;Loitering munition
ussr_kamikaze_drone;Loitering munition
weapons/ussr_kamikaze_drone/desc;An unmanned aerial vehicle with a warhead. Use against ground vehicles.
weapons/ussr_recon_drone;Reconnaissance drone
ussr_recon_drone;Reconnaissance drone
weapons/ussr_recon_drone/desc;A quadcopter with software for automatic enemy recognition.
userlog/human_player_offender;player
userlog/human_squad_member_offender;fireteam member
skin_infantry/random_not_default/name;Random not default
options/infantry_skin;Camouflage
skin_infantry/granit_team1_highbr_camo1/name;Camouflage 2
skin_infantry/granit_team1_lowbr_camo1/name;Camouflage 1
skin_infantry/granit_team2_highbr_camo1/name;Camouflage 2
skin_infantry/granit_team2_lowbr_camo1/name;Camouflage 1
45acp_m1911_fmj;.45 ACP M1911
45acp_m26_fmj_t;.45 ACP M26
45acp_jhp;.45 АСР P+ JHP
12_7mm_sn;12.7 mm 7N34
12_7mm_b32;12.7 mm B-32
12_7mm_bs41;12.7mm BS-41
12_7mm_m20;.50 M20 API
14_5mm_bs41;14.5 mm BS-41
7_62mm_m2_ball;.30-06 М2
7_62mm_ap;.30-06 AP
7_62mm_tracer;.30-06 T
4_6mm_ap_sx;4.6 mm AP SX
5_45mm_7n24_ap;5.45 mm 7N24
5_45mm_7n39_ap;5.45 mm 7N39
5_45mm_7n6_gp;5.45 mm 7N6
5_45mm_7n6m_ep;5.45 mm 7N6M
5_45mm_7n10_ep;5.45 mm 7N10
5_45mm_7n22_ep;5.45 mm 7N22
5_45mm_7t3_tracer;5.45 mm 7T3
5_56mm_m995_ap;5.56 mm M995
5_56mm_m193_ball;5.56 mm M193
5_56mm_m196_tracer;5.56 mm M196
5_56mm_m855_ep;5.56 mm M855
5_56mm_m855a1_ep;5.56 mm M855A1
5_56mm_m856_tracer;5.56 mm M856
5_8mm_dbp_87_gp;5.8 mm DBP-87
6_8mm_m1186_gp;6.8 mm M1186
6_8mm_m1184_ap;6.8 mm M1184
6_8mm_m1187_t;6.8 mm M1187
7_62mm_tt;7.62 mm 57-N-134
7_62mm_57n134s;7.62 mm 57-N-134S
7_62mm_bz_ap;7.62 mm 57-BZ-231
7_62mm_m1943_gp;7.62 mm M43
7_62mm_57n231_gp;7.62 mm 57-N-231
7_62mm_57n231_ep;7.62 mm 57-N-231M
7_62mm_7n23_ap;7.62 mm 7N23
7_62mm_57t231_tracer;7.62 mm 57-T-231
7_62mm_m993_ap;7.62 mm M993
7_62mm_m118_ball;7.62 mm M118
7_62mm_m80_ball;7.62 mm M80
7_62mm_m59_ball;7.62 mm M59
7_62mm_m61_ap;7.62 mm M61
7_62mm_m62_tracer;7.62 mm M62
7_62mm_57n223s_gp;7.62 mm LPS
7_62mm_57n223s_st_m2_ep;7.62 mm ST-M2
7_62mm_57n223_gp;7.62 mm L
7_62mm_57b222;7.62 mm B-30
7_62mm_57bz322;7.62 mm B-32
7_62mm_57bzt322;7.62 mm BZT
7_62mm_bs_40;7.62 mm BS-40
7_62mm_7n1;7.62 mm 7N1
7_62mm_7n13_ap;7.62 mm 7N13
7_62mm_7n14_ap;7.62 mm 7N14
7_62mm_7n26_ap;7.62 mm 7N26
7_62mm_7n37_hc;7.62 mm 7N37
7_62mm_7bt1_tracer;7.62 mm 7BT1
7_62mm_7t2_tracer;7.62 mm 7T2
7_62mm_t_30;7.62 mm 57-T-322
7_62mm_t_46;7.62 mm 57-T-322
9mm_57n181_fmj;9 mm 57-N-181
9mm_57n181s_sc;9 mm 57-N-181S
9mm_57t181_sc_t;9 mm 57-T-181
9mm_7n16_ap;9 mm 7N16
9mm_7n25_ap;9 mm 7N25
9mm_ppe_jhp;9 mm PPE
9mm_7n31_ap;9 mm 7N31
9mm_7n21_ap;9 mm 7N21
9mm_m882_fmj;9 mm M882
9mm_m1152_fmj;9 mm M1152
9mm_m1153_jhp;9 mm M1153SP
9mm_ppatr08;9 mm Patr. 08
9mm_sp10_ap;9 mm SP-10
9mm_sp11_ball;9 mm 7N28
9mm_sp12_hp;9 mm SP-12
9mm_sp13_ap;9 mm SP-13
9mm_sp5_ball;9 mm SP-5
9mm_sp6_ap;9 mm SP-6
9mm_pab_9_ap;9 mm PAB-9
9mm_bp_ap;9 mm BP
9mm_spp_ap;9 mm SPP
su_9M39;9M39 Igla SAM
rpg_2_rocket;RPG-2
93mm_pg_7vl;RPG-7
84mm_at4;AT4
